門市,地址,經度,緯度
文化店,新北市板橋區文化路二段28號,121.4691535,25.024707
中山店,新北市板橋區中山路一段248號,121.4711828,25.0143562
汐止店,新北市汐止區南興路28號,121.6522273,25.0612117
新店店,新北市新店區中正路450號,121.534211,24.978801
永和店,新北市永和區保生路55-2號,121.5045546,25.0116573
中和店,新北市中和區中正路209號,121.497134,24.993484
土城店,新北市土城區金城路二段246號,121.4569691,24.9831573
新莊店,新北市新莊區中正路476號,121.4387639,25.0334653
泰山店?,新北市泰山區泰林路一段38號,121.4391824,25.0520276
民權店,新竹市北區經國路一段776號,120.9703687,24.814082
忠孝店,新竹市東區東光路177號,120.9863034,24.8058172
經國店,新竹市香山區經國路三段8號,120.9536489,24.8005175
竹北店,新竹縣竹北市博愛街119號,121.0042249,24.8308074
八德店,桃園市八德區中華路263-2號,121.2769711,24.9821445
北屯店,台中市北屯區文心路四段319號,120.6802751,24.1730025
東山店,台中市北屯區東山路一段156-31號,120.7084334,24.170334
文昌店,台中市北屯區文心路四段806號,120.6898201,24.1714328
西屯店,台中市西屯區西屯路二段101號,120.6528903,24.166332
文心店,台中市南屯區文心路一段372號,120.647153,24.1491409
南屯店,台中市南屯區五權西路二段80號,120.652436,24.140545
大里店,台中市大里區國光路二段505號,120.6788636,24.1115045
豐原店,台中市豐原區豐原大道6段835號,120.7211909,24.2638762
金馬店,彰化縣彰化市金馬路二段371-2號,120.5413352,24.0941375
草屯店,南投縣草屯鎮中正路874號,120.686505,23.984486
安平店,台南市安平區文平里中華西路二段55號,120.1865604,22.9877357
永康店,台南市永康區中華路707號,120.2157065,23.0231819
民族店,高雄市三民區民族一路610號,120.31608,22.660348
華夏店,高雄市左營區華夏路1340號,120.3124186,22.6861366
巨蛋店,高雄市左營區博愛三路170號,120.305643,22.674403
