門市,地址,經度,緯度
建國南路店,台北市大安區建國南路二段25巷1號,121.5382232,25.0325617
士林店,台北市士林區文林路64號1樓,121.5257599,25.0868776
北投店,台北市北投區中和街317號,121.499871,25.140754
通化店,台北市大安區基隆路2段118號,121.5569357,25.0290912
台北承德店,台北市大同區承德路3段227號,121.518783,25.070475
三和店,新北市三重區三和路2段164號,121.4991748,25.0685585
三重中正北店,新北市三重區中正北路119號,121.4833912,25.0670761
永和得和店,新北市永和區得和路409號,121.5258144,24.9992482
新北永和店,新北市永和區永和路一段147-2號,121.5140516,25.0091113
新北新莊店,新北市新莊區中正路2號,121.4657879,25.0423891
新莊中正店,新北市新莊區中正路104號,121.4546241,25.0368292
桃園蘆竹店,桃園市蘆竹區南昌路266號,121.2920531,25.0397754
中壢健行店,桃園市中壢區健行路178號,121.227664,24.9483636
竹北成功店,新竹縣竹北市成功三路108號,121.0244353,24.8188387
竹北中正東店,新竹縣竹北市中正東路140-2號,121.0166167,24.8352055
竹東店,新竹縣竹東鎮長春路三段224號,121.0828072,24.7446341
湖口店,新竹縣湖口鄉中山路2段212號,121.0451465,24.9039368
新豐店,新竹縣新豐鄉新興路56號,120.9926403,24.8657999
竹南店,苗栗縣竹南鎮延平路166號,120.8758597,24.6892753
頭份店,苗栗縣頭份市中華路1307號,120.9139074,24.6921622
苗栗店,苗栗市中正路109號,120.8244324,24.5674652
苑裡店,苗栗縣苑裡鎮中山路243號,120.6526288,24.4456916
宜蘭中山店,宜蘭縣宜蘭市中山路三段101號,121.7526593,24.7581613
宜蘭羅東店,宜蘭縣羅東鎮光榮路112號,121.7778669,24.6721093
台中太平店,台中市東區精武東路9號,120.7068419,24.1488746
台中大里店,台中市大里區國光路二段441號,120.6792516,24.1105466
台中南屯店,台中市南屯區五權西路二段203號,120.6494681,24.1399193
台中北屯店,台中市北屯區北屯路218號,120.6966305,24.1679702
台中大雅店,台中市北區中清路一段627號,120.6719895,24.1703525
台中河南店,台中市西屯區河南路二段473號,120.6421896,24.1689527
台中逢甲店,台中市西屯區逢甲路206號,120.6403213,24.1759034
台中中清店,台中市北屯區后庄北路11號,120.662278,24.189773
台中東海店,台中市龍井區台灣大道5段133號,120.5893733,24.1842798
台中沙鹿店,台中市沙鹿區台灣大道7段281號,120.5750571,24.227952
彰化田中店,彰化縣田中鎮中路里福安路28號,120.590378,23.8589157
彰化中山店,彰化縣彰化市中山路2段515號,120.544532,24.078752
彰化中正店,彰化縣彰化市中正路2段753號,120.5350707,24.0666129
彰化鹿港店,彰化縣鹿港鎮中正路187號,120.4405742,24.0546795
彰化和美店,彰化縣和美鎮彰美路5段247號,120.5004314,24.1096592
彰化員林店,彰化縣員林市三民東街76號,120.576993,23.959204
雲林虎尾店,雲林縣虎尾鎮林森路2段232號,120.4276067,23.7031055
雲林斗六店,雲林縣斗六市民生南路67號,120.5371451,23.7043769
嘉義西區店,嘉義市北港路313號,120.4282378,23.4809416
嘉義後庄店,嘉義市東區吳鳳南路360號,120.4593168,23.4549409
嘉義北區店,嘉義市林森西路186號,120.4482222,23.4842523
嘉義友愛店,嘉義市西區福全里友愛路187號,120.4337576,23.4815669
台南五期店,台南市中華西路一段310號,120.1864695,22.9832467
台南中華店,台南市中華路103號,120.234902,23.001825
台南永大店,台南市永康區永大路2段25號,120.2597894,23.0022087
台南大同店,台南市東區大同路一段259號,120.2113613,22.9827639
高雄岡山店,高雄市岡山區岡山路101號,120.2961249,22.7902214
高雄五甲店,高雄市鳳山區五甲一路120號,120.356468,22.6204516
花蓮中正店,花蓮縣花蓮市主農里中正路121號,121.5973083,23.970771
花蓮自強店,花蓮縣吉安鄉自強路636號,121.5936394,23.9887556
花蓮玉里店,花蓮縣玉里鎮和平路96號,121.3141193,23.3335446
